trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,piloting,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,thank_you.started,text_2.started,text_2.stopped,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,False,0.020010541658848524,0.03661158331669867,0.03661158331669867,7.4270471666241065,space,7.375297291669995,None,,,,,,,,,,,,,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
0,2,10,7.436177541618235,,,,,,,,,,7.4273272916907445,7.436177541618235,8.002882416709326,8.002882416709326,8.002882416709326,8.303492874954827,9.08767695829738,left,-10,1,1,1.0831352500244975,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
1,2,8,9.104577958351001,,,,,,,,,,9.087727958336473,9.104577958351001,9.62016341672279,9.586716916644946,9.586716916644946,9.887244874960743,10.070821208297275,left,-8,1,1,0.47211891668848693,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
2,2,6,10.087256749975495,,,,,,,,,,10.0708659166703,10.087256749975495,10.587343999999575,10.570523291709833,10.570523291709833,10.870694666635245,11.086919000023045,right,6,1,1,0.5143143334425986,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
3,2,4,11.102692166692577,,,,,,,,,,11.086976374965161,11.102692166692577,11.604093041620217,11.587305666645989,11.587305666645989,11.887391708325595,12.104311291710474,right,4,1,1,0.5125084583414719,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
4,2,2,12.120620999950916,,,,,,,,,,12.104353458387777,12.120620999950916,12.620606833370402,12.603951208293438,12.603951208293438,12.903897958341986,13.087478541652672,left,-2,1,1,0.4688449166715145,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
5,2,1,13.103953333338723,,,,,,,,,,13.087513083359227,13.103953333338723,13.60382637497969,13.587218125001527,13.587218125001527,13.887227041646838,14.253551500034519,left,-1,1,1,0.6505215000361204,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
6,1,1,14.270557708339766,,,,,,,,,,14.253585124970414,14.270557708339766,14.770765958353877,14.753938250010833,14.753938250010833,15.05405366665218,15.170775041682646,left,-1,0,0,0.405818666680716,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
7,1,2,15.187341541633941,,,,,,,,,,15.170802125008777,15.187341541633941,15.68732995830942,15.670711166691035,15.670711166691035,15.970674166688696,16.070735750021413,right,2,0,0,0.3899996666004881,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
8,1,3,16.08731695835013,,,,,,,,,,16.070762916700915,16.08731695835013,16.587330000009388,16.570543541689403,16.570543541689403,16.87066458328627,17.270235833362676,right,3,1,1,0.6921605416573584,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
